id,hasTranslation,surah_ayah,surah_no,ayah_no,hasBroadCategories,hasScientificTopics,hasContextualReference,hasScientificConceptID,hasScientificTafsirTopics,hasScientificNodes,hasTafsirID,hasThemes,hasText
70,"Have you not seen how your Lord extends the shade—He could have simply made it ˹remain˺ still if He so willed—then We make the sun its guide,",25:45,25,45,"[""cosmological""]","[""celestial_bodies_movement"",""day_night_cycles""]","[""46""]",,"[""Rotation causing day and night""]",,TAAK_2_25_45-46,"[""phenomena"",""process"",""rotation_of_bodies""]",أَلَمْ تَرَ إِلَىٰ رَبِّكَ كَيْفَ مَدَّ ٱلظِّلَّ وَلَوْ شَآءَ لَجَعَلَهُۥ سَاكِنًۭا ثُمَّ جَعَلْنَا ٱلشَّمْسَ عَلَيْهِ دَلِيلًۭا
71,causing the shade to retreat gradually?,25:46,25,46,"[""cosmological""]","[""celestial_bodies_movement"",""day_night_cycles""]",,,"[""Rotation causing day and night""]",,TAAK_2_25_45-46,"[""phenomena"",""process""]",ثُمَّ قَبَضْنَٰهُ إِلَيْنَا قَبْضًۭا يَسِيرًۭا
72,"He is the One Who has made the night for you as a cover, and ˹made˺ sleep for resting, and the day for rising.",25:47,25,47,"[""geological""]","[""earth_layers"",""hydrology_water_cycle""]","[""48""]",,,,TAAK_2_25_47-48,"[""creation_story"",""process""]",وَهُوَ ٱلَّذِى جَعَلَ لَكُمُ ٱلَّيْلَ لِبَاسًۭا وَٱلنَّوْمَ سُبَاتًۭا وَجَعَلَ ٱلنَّهَارَ نُشُورًۭا
73,"And He is the One Who creates human beings from a ˹humble˺ liquid, then establishes for them bonds of kinship and marriage. For your Lord is Most Capable.",25:54,25,54,"[""biological""]","[""reproduction_heredity""]",,,"[""Genetic Transmission""]",,TAAK_2_25_54,"[""process""]",وَهُوَ ٱلَّذِى خَلَقَ مِنَ ٱلْمَآءِ بَشَرًۭا فَجَعَلَهُۥ نَسَبًۭا وَصِهْرًۭا ۗ وَكَانَ رَبُّكَ قَدِيرًۭا
74,"And He is the One Who merges the two bodies of water: one fresh and palatable and the other salty and bitter, placing between them a barrier they cannot cross.",25:53,25,53,"[""geological""]","[""oceanography""]",,"[""ESTUARY""]","[""Barrier between fresh and salty water""]","[""ESTUARY_09"",""ESTUARY_15"",""ESTUARY_02"",""ESTUARY_03"",""ESTUARY_01"",""ESTUARY_07""]",TAAK_2_25_53,"[""phenomena""]",۞ وَهُوَ ٱلَّذِى مَرَجَ ٱلْبَحْرَيْنِ هَٰذَا عَذْبٌۭ فُرَاتٌۭ وَهَٰذَا مِلْحٌ أُجَاجٌۭ وَجَعَلَ بَيْنَهُمَا بَرْزَخًۭا وَحِجْرًۭا مَّحْجُورًۭا
75,"And when they came across a valley of ants, an ant warned, “O ants! Go quickly into your homes so Solomon and his armies do not crush you, unknowingly.”",27:18,27,18,"[""biological""]","[""animal_behavior_ecosystems"",""entomology""]",,,"[""Ant Communication""]",,TAAK_2_27_18,"[""historical_event"",""Social Organization""]",حَتَّىٰٓ إِذَآ أَتَوْا۟ عَلَىٰ وَادِ ٱلنَّمْلِ قَالَتْ نَمْلَةٌۭ يَٰٓأَيُّهَا ٱلنَّمْلُ ٱدْخُلُوا۟ مَسَٰكِنَكُمْ لَا يَحْطِمَنَّكُمْ سُلَيْمَٰنُ وَجُنُودُهُۥ وَهُمْ لَا يَشْعُرُونَ
76,"Or ˹ask them,˺ “Who made the earth a place of settlement, caused rivers to flow through it, placed firm mountains upon it, and set a barrier between ˹fresh and salt˺ bodies of water? Was it another god besides Allah?” Absolutely not! But most of them do not know.",27:61,27,61,"[""geological""]","[""hydrology_water_cycle"",""oceanography""]",,"[""ESTUARY""]","[""Barrier between fresh and salty water""]","[""ESTUARY_14"",""ESTUARY_12"",""ESTUARY_13"",""ESTUARY_15"",""ESTUARY_10""]",TAAK_2_27_61,"[""phenomena""]",أَمَّن جَعَلَ ٱلْأَرْضَ قَرَارًۭا وَجَعَلَ خِلَٰلَهَآ أَنْهَٰرًۭا وَجَعَلَ لَهَا رَوَٰسِىَ وَجَعَلَ بَيْنَ ٱلْبَحْرَيْنِ حَاجِزًا ۗ أَءِلَٰهٌۭ مَّعَ ٱللَّهِ ۚ بَلْ أَكْثَرُهُمْ لَا يَعْلَمُونَ
77,"Or ˹ask them,˺ “Who originates the creation then resurrects it, and gives you provisions from the heavens and the earth? Is it another god besides Allah?” Say, ˹O Prophet,˺ “Show ˹me˺ your proof, if what you say is true.”",27:64,27,64,"[""biological""]","[""human_development""]",,,"[""Initiation and Repetition of Creation""]",,TAAK_2_27_64,"[""historical_event"",""ethical_theological""]",أَمَّن يَبْدَؤُا۟ ٱلْخَلْقَ ثُمَّ يُعِيدُهُۥ وَمَن يَرْزُقُكُم مِّنَ ٱلسَّمَآءِ وَٱلْأَرْضِ ۗ أَءِلَٰهٌۭ مَّعَ ٱللَّهِ ۚ قُلْ هَاتُوا۟ بُرْهَٰنَكُمْ إِن كُنتُمْ صَٰدِقِينَ
78,Do they not see that We made the night for them to rest in and the day bright? Surely in this are signs for those who believe.,27:86,27,86,"[""cosmological""]","[""day_night_cycles""]",,,"[""Light and darkness"",""Light as a transient state""]",,TAAK_2_27_86,"[""signs_to_reflect_upon"",""phenomena""]",أَلَمْ يَرَوْا۟ أَنَّا جَعَلْنَا ٱلَّيْلَ لِيَسْكُنُوا۟ فِيهِ وَٱلنَّهَارَ مُبْصِرًا ۚ إِنَّ فِى ذَٰلِكَ لَءَايَٰتٍۢ لِّقَوْمٍۢ يُؤْمِنُونَ
79,"The parable of those who take protectors other than Allah is that of a spider spinning a shelter. And the flimsiest of all shelters is certainly that of a spider, if only they knew.",29:41,29,41,"[""biological""]","[""animal_behavior_ecosystems"",""entomology""]",,,"[""Social flimsiness of the Spider""]",,TAAK_2_29_41,"[""prophetic_scientific"",""metaphorical""]",مَثَلُ ٱلَّذِينَ ٱتَّخَذُوا۟ مِن دُونِ ٱللَّهِ أَوْلِيَآءَ كَمَثَلِ ٱلْعَنكَبُوتِ ٱتَّخَذَتْ بَيْتًۭا ۖ وَإِنَّ أَوْهَنَ ٱلْبُيُوتِ لَبَيْتُ ٱلْعَنكَبُوتِ ۖ لَوْ كَانُوا۟ يَعْلَمُونَ
80,Alif-Lãm-Mĩm.,30:1,30,1,"[""geological""]","[""landforms"",""earth_layers""]","[""2"",""3"",""4""]",,"[""Topography of the Dead Sea Basin""]",,TAAK_2_30_1-4,"[""prophetic_scientific"",""historical_event""]",الٓمٓ
81,The Romans have been defeated,30:2,30,2,"[""geological""]","[""landforms"",""earth_layers""]",,,"[""Topography of the Dead Sea Basin""]",,TAAK_2_30_1-4,"[""prophetic_scientific"",""historical_event""]",غُلِبَتِ ٱلرُّومُ
82,"in a nearby land. Yet following their defeat, they will triumph",30:3,30,3,"[""geological""]","[""landforms"",""earth_layers""]",,,"[""Topography of the Dead Sea Basin""]",,TAAK_2_30_1-4,"[""prophetic_scientific"",""historical_event""]",فِىٓ أَدْنَى ٱلْأَرْضِ وَهُم مِّنۢ بَعْدِ غَلَبِهِمْ سَيَغْلِبُونَ
83,within three to nine years. The ˹whole˺ matter rests with Allah before and after ˹victory˺. And on that day the believers will rejoice,30:4,30,4,"[""geological""]","[""landforms"",""earth_layers""]",,,"[""Topography of the Dead Sea Basin""]",,TAAK_2_30_1-4,"[""prophetic_scientific"",""historical_event""]",فِى بِضْعِ سِنِينَ ۗ لِلَّهِ ٱلْأَمْرُ مِن قَبْلُ وَمِنۢ بَعْدُ ۚ وَيَوْمَئِذٍۢ يَفْرَحُ ٱلْمُؤْمِنُونَ
84,He brings forth the living from the dead and the dead from the living. And He gives life to the earth after its death. And so will you be brought forth ˹from the grave˺.,30:19,30,19,"[""biological""]","[""life_after_death""]",,,"[""Human body return to the materials it created from""]",,TAAK_2_30_19,"[""process""]",يُخْرِجُ ٱلْحَىَّ مِنَ ٱلْمَيِّتِ وَيُخْرِجُ ٱلْمَيِّتَ مِنَ ٱلْحَىِّ وَيُحْىِ ٱلْأَرْضَ بَعْدَ مَوْتِهَا ۚ وَكَذَٰلِكَ تُخْرَجُونَ
85,"One of His signs is that He created you from dust, then—behold!—you are human beings spreading over ˹the earth˺.",30:20,30,20,"[""biological""]","[""human_development""]",,,"[""Chemical Composition of man""]",,TAAK_2_30_20,"[""signs_to_reflect_upon"",""creation_story""]",وَمِنْ ءَايَٰتِهِۦٓ أَنْ خَلَقَكُم مِّن تُرَابٍۢ ثُمَّ إِذَآ أَنتُم بَشَرٌۭ تَنتَشِرُونَ
86,"Corruption has spread on land and sea as a result of what people’s hands have done, so that Allah may cause them to taste ˹the consequences of˺ some of their deeds and perhaps they might return ˹to the Right Path˺.",30:41,30,41,"[""biological"",""geological""]","[""epidemiology"",""pathology""]",,,"[""Environmental Erosion by people's hands""]",,TAAK_2_30_41,"[""prophetic_scientific"",""ethical_theological""]",ظَهَرَ ٱلْفَسَادُ فِى ٱلْبَرِّ وَٱلْبَحْرِ بِمَا كَسَبَتْ أَيْدِى ٱلنَّاسِ لِيُذِيقَهُم بَعْضَ ٱلَّذِى عَمِلُوا۟ لَعَلَّهُمْ يَرْجِعُونَ
87,"It is Allah Who sends the winds, which then stir up ˹vapour, forming˺ clouds, which He then spreads out in the sky or piles up into masses as He wills, from which you see rain come forth. Then as soon as He causes it to fall on whoever He wills of His servants, they rejoice,",30:48,30,48,"[""geological""]","[""hydrology_water_cycle"",""winds_movement""]",,,,,TAAK_2_30_48,"[""process""]",ٱللَّهُ ٱلَّذِى يُرْسِلُ ٱلرِّيَٰحَ فَتُثِيرُ سَحَابًۭا فَيَبْسُطُهُۥ فِى ٱلسَّمَآءِ كَيْفَ يَشَآءُ وَيَجْعَلُهُۥ كِسَفًۭا فَتَرَى ٱلْوَدْقَ يَخْرُجُ مِنْ خِلَٰلِهِۦ ۖ فَإِذَآ أَصَابَ بِهِۦ مَن يَشَآءُ مِنْ عِبَادِهِۦٓ إِذَا هُمْ يَسْتَبْشِرُونَ
88,"It is Allah Who created you in a state of weakness, then developed ˹your˺ weakness into strength, then developed ˹your˺ strength into weakness and old age. He creates whatever He wills. For He is the All-Knowing, Most Capable.",30:54,30,54,"[""biological""]","[""physiology""]",,,"[""Human aging Process""]",,TAAK_2_30_54,"[""process""]",۞ ٱللَّهُ ٱلَّذِى خَلَقَكُم مِّن ضَعْفٍۢ ثُمَّ جَعَلَ مِنۢ بَعْدِ ضَعْفٍۢ قُوَّةًۭ ثُمَّ جَعَلَ مِنۢ بَعْدِ قُوَّةٍۢ ضَعْفًۭا وَشَيْبَةًۭ ۚ يَخْلُقُ مَا يَشَآءُ ۖ وَهُوَ ٱلْعَلِيمُ ٱلْقَدِيرُ
89,"And We have commanded people to ˹honour˺ their parents. Their mothers bore them through hardship upon hardship, and their weaning takes two years. So be grateful to Me and your parents. To Me is the final return.",31:14,31,14,"[""biological""]","[""physiology"",""health""]",,,"[""Minimum duration pregnancy""]",,TAAK_2_31_14,"[""process"",""prophetic_scientific"",""ethical_theological""]",وَوَصَّيْنَا ٱلْإِنسَٰنَ بِوَٰلِدَيْهِ حَمَلَتْهُ أُمُّهُۥ وَهْنًا عَلَىٰ وَهْنٍۢ وَفِصَٰلُهُۥ فِى عَامَيْنِ أَنِ ٱشْكُرْ لِى وَلِوَٰلِدَيْكَ إِلَىَّ ٱلْمَصِيرُ
90,"Be moderate in your pace. And lower your voice, for the ugliest of all voices is certainly the braying of donkeys.”",31:19,31,19,"[""biological"",""physical""]","[""animal_behavior_ecosystems"",""physiology"",""health""]",,,"[""Acoustic harshness and health effects"",""Unpleasant sound of donkey"",""Sound Waves""]",,TAAK_2_31_19,"[""phenomena"",""ethical_theological""]",وَٱقْصِدْ فِى مَشْيِكَ وَٱغْضُضْ مِن صَوْتِكَ ۚ إِنَّ أَنكَرَ ٱلْأَصْوَٰتِ لَصَوْتُ ٱلْحَمِيرِ
91,"Then He made his descendants from an extract of a humble fluid,",32:8,32,8,"[""biological""]","[""embryology_development"",""reproduction_heredity""]",,"[""EMBRYO""]","[""Origin from \""despicable\"" fluid""]",,TAAK_3_32_8,"[""creation_story""]",ثُمَّ جَعَلَ نَسْلَهُۥ مِن سُلَٰلَةٍۢ مِّن مَّآءٍۢ مَّهِينٍۢ
92,"then He fashioned them and had a spirit of His Own ˹creation˺ breathed into them. And He gave you hearing, sight, and intellect. ˹Yet˺ you hardly give any thanks.",32:9,32,9,"[""biological""]","[""human_development"",""physiology""]",,,"[""Hearing before Sight"",""Perception and Sensory Awareness of Humans""]",,TAAK_3_32_9,"[""ethical_theological""]",ثُمَّ سَوَّىٰهُ وَنَفَخَ فِيهِ مِن رُّوحِهِۦ ۖ وَجَعَلَ لَكُمُ ٱلسَّمْعَ وَٱلْأَبْصَٰرَ وَٱلْأَفْـِٔدَةَ ۚ قَلِيلًۭا مَّا تَشْكُرُونَ
93,"Allah does not place two hearts in any person’s chest. Nor does He regard your wives as ˹unlawful for you like˺ your real mothers, ˹even˺ if you say they are. These are only your baseless assertions. But Allah declares the truth, and He ˹alone˺ guides to the ˹Right˺ Way.",33:4,33,4,"[""biological""]","[""human_development"",""physiology""]",,,"[""Anatomical Limitation""]",,TAAK_3_33_4,"[""ethical_theological""]",مَّا جَعَلَ ٱللَّهُ لِرَجُلٍۢ مِّن قَلْبَيْنِ فِى جَوْفِهِۦ ۚ وَمَا جَعَلَ أَزْوَٰجَكُمُ ٱلَّٰٓـِٔى تُظَٰهِرُونَ مِنْهُنَّ أُمَّهَٰتِكُمْ ۚ وَمَا جَعَلَ أَدْعِيَآءَكُمْ أَبْنَآءَكُمْ ۚ ذَٰلِكُمْ قَوْلُكُم بِأَفْوَٰهِكُمْ ۖ وَٱللَّهُ يَقُولُ ٱلْحَقَّ وَهُوَ يَهْدِى ٱلسَّبِيلَ
94,"When We decreed Solomon’s death, nothing indicated to the ˹subjected˺ jinn that he was dead except the termites eating away his staff. So when he collapsed, the jinn realized that if they had ˹really˺ known the unseen, they would not have remained in ˹such˺ humiliating servitude.",34:14,34,14,"[""biological""]","[""animal_behavior_ecosystems"",""entomology""]",,,"[""Termite eating the staff""]",,TAAK_3_34_14,"[""historical_event""]",فَلَمَّا قَضَيْنَا عَلَيْهِ ٱلْمَوْتَ مَا دَلَّهُمْ عَلَىٰ مَوْتِهِۦٓ إِلَّا دَآبَّةُ ٱلْأَرْضِ تَأْكُلُ مِنسَأَتَهُۥ ۖ فَلَمَّا خَرَّ تَبَيَّنَتِ ٱلْجِنُّ أَن لَّوْ كَانُوا۟ يَعْلَمُونَ ٱلْغَيْبَ مَا لَبِثُوا۟ فِى ٱلْعَذَابِ ٱلْمُهِينِ
95,"Do you not see that Allah sends down rain from the sky with which We bring forth fruits of different colours? And in the mountains are streaks of varying shades of white, red, and raven black;",35:27,35,27,"[""biological""]","[""plant_life_agriculture"",""physiology""]",,,,,TAAK_3_35_27,"[""biological_diversity"",""Invitation to observe""]",أَلَمْ تَرَ أَنَّ ٱللَّهَ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجْنَا بِهِۦ ثَمَرَٰتٍۢ مُّخْتَلِفًا أَلْوَٰنُهَا ۚ وَمِنَ ٱلْجِبَالِ جُدَدٌۢ بِيضٌۭ وَحُمْرٌۭ مُّخْتَلِفٌ أَلْوَٰنُهَا وَغَرَابِيبُ سُودٌۭ
96,"As for the moon, We have ordained ˹precise˺ phases for it, until it ends up like an old, curved palm stalk.",36:39,36,39,"[""cosmological""]","[""astronomy_celestial"",""celestial_bodies_movement""]",,,"[""Moon as Old Date Stalk""]",,TAAK_3_36_39,"[""phenomena"",""process"",""analogical""]",وَٱلْقَمَرَ قَدَّرْنَٰهُ مَنَازِلَ حَتَّىٰ عَادَ كَٱلْعُرْجُونِ ٱلْقَدِيمِ
97,"˹He is the One˺ Who gives you fire from green trees, and—behold!—you kindle ˹fire˺ from them.",36:80,36,80,"[""biological"",""physical""]","[""plant_life_agriculture"",""energy_radiation""]",,,"[""Green Trees as Fuel"",""Energy Transformation""]",,TAAK_3_36_80,"[""process""]",ٱلَّذِى جَعَلَ لَكُم مِّنَ ٱلشَّجَرِ ٱلْأَخْضَرِ نَارًۭا فَإِذَآ أَنتُم مِّنْهُ تُوقِدُونَ
98,"So ask them ˹O Prophet˺, which is harder to create: them or other marvels of Our creation?",37:11,37,11,"[""biological""]","[""embryology_development""]",,,"[""Tin Lazib (Viscous Clay)""]",,TAAK_3_37_11,"[""material_substance_reference""]",فَٱسْتَفْتِهِمْ أَهُمْ أَشَدُّ خَلْقًا أَم مَّنْ خَلَقْنَآ ۚ إِنَّا خَلَقْنَٰهُم مِّن طِينٍۢ لَّازِبٍۭ
99,"But We cast him onto the open ˹shore˺, ˹totally˺ worn out,",37:145,37,145,"[""biological""]","[""plant_life_agriculture"",""health""]","[""146""]",,"[""The Pumpkin/Gourd (Yaqtin)""]",,TAAK_3_37_145-146,"[""historical_event""]",۞ فَنَبَذْنَٰهُ بِٱلْعَرَآءِ وَهُوَ سَقِيمٌۭ
100,and caused a squash plant to grow over him.,37:146,37,146,"[""biological""]","[""plant_life_agriculture"",""health""]",,,"[""The Pumpkin/Gourd (Yaqtin)""]",,TAAK_3_37_145-146,"[""historical_event""]",وَأَنۢبَتْنَا عَلَيْهِ شَجَرَةًۭ مِّن يَقْطِينٍۢ
101,"He created the heavens and the earth for a purpose. He wraps the night around the day, and wraps the day around the night. And He has subjected the sun and the moon, each orbiting for an appointed term. He is truly the Almighty, Most Forgiving.",39:5,39,5,"[""cosmological""]","[""astronomy_celestial"",""celestial_bodies_movement"",""day_night_cycles""]",,,"[""Yukawwiru (Coiling)""]",,TAAK_3_39_5,"[""phenomena"",""rotation_of_bodies""]",خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ بِٱلْحَقِّ ۖ يُكَوِّرُ ٱلَّيْلَ عَلَى ٱلنَّهَارِ وَيُكَوِّرُ ٱلنَّهَارَ عَلَى ٱلَّيْلِ ۖ وَسَخَّرَ ٱلشَّمْسَ وَٱلْقَمَرَ ۖ كُلٌّۭ يَجْرِى لِأَجَلٍۢ مُّسَمًّى ۗ أَلَا هُوَ ٱلْعَزِيزُ ٱلْغَفَّٰرُ
102,"He created you ˹all˺ from a single soul, That is Allah—your Lord! All authority belongs to Him. There is no god ˹worthy of worship˺ except Him. How can you then be turned away?",39:6,39,6,"[""biological""]","[""embryology_development"",""physiology"",""reproduction_heredity""]",,"[""EMBRYO""]","[""Genetic Transmission"",""Transmission of Traits"",""Activation of Clay"",""Anatomical Layers""]","[""EMBRYO_08""]",TAAK_3_39_6,"[""process"",""prophetic_scientific"",""Design""]",خَلَقَكُم مِّن نَّفْسٍۢ وَٰحِدَةٍۢ ثُمَّ جَعَلَ مِنْهَا زَوْجَهَا وَأَنزَلَ لَكُم مِّنَ ٱلْأَنْعَٰمِ ثَمَٰنِيَةَ أَزْوَٰجٍۢ ۚ يَخْلُقُكُمْ فِى بُطُونِ أُمَّهَٰتِكُمْ خَلْقًۭا مِّنۢ بَعْدِ خَلْقٍۢ فِى ظُلُمَٰتٍۢ ثَلَٰثٍۢ ۚ ذَٰلِكُمُ ٱللَّهُ رَبُّكُمْ لَهُ ٱلْمُلْكُ ۖ لَآ إِلَٰهَ إِلَّا هُوَ ۖ فَأَنَّىٰ تُصْرَفُونَ
103,"Do you not see that Allah sends down rain from the sky—channelling it through streams in the earth—then produces with it crops of various colours, then they dry up and you see them wither, and then He reduces them to chaff? Surely in this is a reminder for people of reason.",39:21,39,21,"[""geological""]","[""earth_layers"",""hydrology_water_cycle""]",,,"[""Infiltration of Rain""]",,TAAK_3_39_21,"[""process""]",أَلَمْ تَرَ أَنَّ ٱللَّهَ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَسَلَكَهُۥ يَنَٰبِيعَ فِى ٱلْأَرْضِ ثُمَّ يُخْرِجُ بِهِۦ زَرْعًۭا مُّخْتَلِفًا أَلْوَٰنُهُۥ ثُمَّ يَهِيجُ فَتَرَىٰهُ مُصْفَرًّۭا ثُمَّ يَجْعَلُهُۥ حُطَٰمًا ۚ إِنَّ فِى ذَٰلِكَ لَذِكْرَىٰ لِأُو۟لِى ٱلْأَلْبَٰبِ
104,"Allah is the Creator of all things, and He is the Maintainer of everything.",39:62,39,62,"[""non_scientific""]","[""historical_event"",""thinking_reflecting""]",,,"[""Theological"",""Causality of Creation""]",,TAAK_3_39_62,"[""creation_story"",""historical_event"",""ethical_theological""]",ٱللَّهُ خَٰلِقُ كُلِّ شَىْءٍۢ ۖ وَهُوَ عَلَىٰ كُلِّ شَىْءٍۢ وَكِيلٌۭ
105,"It is Allah Who made the earth a place of settlement for you and the sky a canopy. He shaped you ˹in the womb˺, perfecting your form. And He has provided you with what is good and lawful. That is Allah—your Lord. So Blessed is Allah, Lord of all worlds.",40:64,40,64,"[""biological"",""geological""]","[""embryology_development"",""landforms""]",,,"[""Stability of Earth""]",,TAAK_3_40_64,"[""phenomena""]",ٱللَّهُ ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ قَرَارًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَصَوَّرَكُمْ فَأَحْسَنَ صُوَرَكُمْ وَرَزَقَكُم مِّنَ ٱلطَّيِّبَٰتِ ۚ ذَٰلِكُمُ ٱللَّهُ رَبُّكُمْ ۖ فَتَبَارَكَ ٱللَّهُ رَبُّ ٱلْعَٰلَمِينَ
106,"He placed on the earth firm mountains, standing high, showered His blessings upon it, and ordained ˹all˺ its means of sustenance—totaling four Days exactly—for all who ask.",41:10,41,10,"[""geological""]","[""earth_layers""]",,,"[""Four Stages of Sustenance"",""Earth Characteristics""]",,TAAK_3_41_10,"[""creation_story"",""numeric_emphasis""]",وَجَعَلَ فِيهَا رَوَٰسِىَ مِن فَوْقِهَا وَبَٰرَكَ فِيهَا وَقَدَّرَ فِيهَآ أَقْوَٰتَهَا فِىٓ أَرْبَعَةِ أَيَّامٍۢ سَوَآءًۭ لِّلسَّآئِلِينَ
107,"Among His signs are the day and the night, the sun and the moon. Do not prostrate to the sun or the moon, but prostrate to Allah, Who created them ˹all˺, if you ˹truly˺ worship Him ˹alone˺.",41:37,41,37,"[""cosmological""]","[""astronomy_celestial"",""space_earth_interaction"",""celestial_bodies_movement"",""day_night_cycles""]",,,"[""Seasons and Time relation with sun and moon""]",,TAAK_3_41_37,"[""signs_to_reflect_upon"",""rotation_of_bodies""]",وَمِنْ ءَايَٰتِهِ ٱلَّيْلُ وَٱلنَّهَارُ وَٱلشَّمْسُ وَٱلْقَمَرُ ۚ لَا تَسْجُدُوا۟ لِلشَّمْسِ وَلَا لِلْقَمَرِ وَٱسْجُدُوا۟ لِلَّهِ ٱلَّذِى خَلَقَهُنَّ إِن كُنتُمْ إِيَّاهُ تَعْبُدُونَ
108,"To Allah ˹alone˺ belongs the kingdom of the heavens and the earth. He creates whatever He wills. He blesses whoever He wills with daughters, and blesses whoever He wills with sons,",42:49,42,49,"[""biological""]","[""reproduction_heredity""]","[""50""]",,"[""Male/Female Genitics""]",,TAAK_3_42_49-50,"[""process""]",لِّلَّهِ مُلْكُ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ ۚ يَخْلُقُ مَا يَشَآءُ ۚ يَهَبُ لِمَن يَشَآءُ إِنَٰثًۭا وَيَهَبُ لِمَن يَشَآءُ ٱلذُّكُورَ
109,"or grants both, sons and daughters, ˹to whoever He wills˺, and leaves whoever He wills infertile. He is indeed All-Knowing, Most Capable.",42:50,42,50,"[""biological""]","[""reproduction_heredity""]",,,"[""Male/Female Genitics""]",,TAAK_3_42_49-50,"[""process""]",أَوْ يُزَوِّجُهُمْ ذُكْرَانًۭا وَإِنَٰثًۭا ۖ وَيَجْعَلُ مَن يَشَآءُ عَقِيمًا ۚ إِنَّهُۥ عَلِيمٌۭ قَدِيرٌۭ
110,These are Allah’s revelations which We recite to you ˹O Prophet˺ in truth. So what message will they believe in after ˹denying˺ Allah and His revelations?,45:6,45,6,"[""geological"",""order_and_design""]","[""winds_movement"",""atmospheric_phenomena""]",,,"[""Precision in Wind Patterns""]",,TAAK_3_45_6,"[""phenomena""]",تِلْكَ ءَايَٰتُ ٱللَّهِ نَتْلُوهَا عَلَيْكَ بِٱلْحَقِّ ۖ فَبِأَىِّ حَدِيثٍۭ بَعْدَ ٱللَّهِ وَءَايَٰتِهِۦ يُؤْمِنُونَ
111,"We have commanded people to honour their parents. Their mothers bore them in hardship and delivered them in hardship. Their ˹period of˺ bearing and weaning is thirty months. In time, when the child reaches their prime at the age of forty, they pray, “My Lord! Inspire me to ˹always˺ be thankful for Your favours which You blessed me and my parents with, and to do good deeds that please You. And instil righteousness in my offspring. I truly repent to You, and I truly submit ˹to Your Will˺.”",46:15,46,15,"[""biological""]","[""physiology"",""health""]",,,"[""Gestation and Weaning Math"",""Minimum duration pregnancy""]",,TAAK_3_46_15,"[""numeric_emphasis""]",وَوَصَّيْنَا ٱلْإِنسَٰنَ بِوَٰلِدَيْهِ إِحْسَٰنًا ۖ حَمَلَتْهُ أُمُّهُۥ كُرْهًۭا وَوَضَعَتْهُ كُرْهًۭا ۖ وَحَمْلُهُۥ وَفِصَٰلُهُۥ ثَلَٰثُونَ شَهْرًا ۚ حَتَّىٰٓ إِذَا بَلَغَ أَشُدَّهُۥ وَبَلَغَ أَرْبَعِينَ سَنَةًۭ قَالَ رَبِّ أَوْزِعْنِىٓ أَنْ أَشْكُرَ نِعْمَتَكَ ٱلَّتِىٓ أَنْعَمْتَ عَلَىَّ وَعَلَىٰ وَٰلِدَىَّ وَأَنْ أَعْمَلَ صَٰلِحًۭا تَرْضَىٰهُ وَأَصْلِحْ لِى فِى ذُرِّيَّتِىٓ ۖ إِنِّى تُبْتُ إِلَيْكَ وَإِنِّى مِنَ ٱلْمُسْلِمِينَ
112,"Muhammad is the Messenger of Allah. And those with him are firm with the disbelievers To those of them who believe and do good, Allah has promised forgiveness and a great reward.",48:29,48,29,"[""biological""]","[""plant_life_agriculture"",""reproduction_heredity""]",,,"[""Plant Suckers""]",,TAAK_3_48_29,"[""prophetic_scientific"",""parable""]",مُّحَمَّدٌۭ رَّسُولُ ٱللَّهِ ۚ وَٱلَّذِينَ مَعَهُۥٓ أَشِدَّآءُ عَلَى ٱلْكُفَّارِ رُحَمَآءُ بَيْنَهُمْ ۖ تَرَىٰهُمْ رُكَّعًۭا سُجَّدًۭا يَبْتَغُونَ فَضْلًۭا مِّنَ ٱللَّهِ وَرِضْوَٰنًۭا ۖ سِيمَاهُمْ فِى وُجُوهِهِم مِّنْ أَثَرِ ٱلسُّجُودِ ۚ ذَٰلِكَ مَثَلُهُمْ فِى ٱلتَّوْرَىٰةِ ۚ وَمَثَلُهُمْ فِى ٱلْإِنجِيلِ كَزَرْعٍ أَخْرَجَ شَطْـَٔهُۥ فَـَٔازَرَهُۥ فَٱسْتَغْلَظَ فَٱسْتَوَىٰ عَلَىٰ سُوقِهِۦ يُعْجِبُ ٱلزُّرَّاعَ لِيَغِيظَ بِهِمُ ٱلْكُفَّارَ ۗ وَعَدَ ٱللَّهُ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ مِنْهُم مَّغْفِرَةًۭ وَأَجْرًا عَظِيمًۢا
113,"We certainly know what the earth consumes of them ˹after their death˺, and with us is a well-preserved Record.",50:4,50,4,"[""biological""]","[""physiology""]",,,"[""Decomposition and the Tailbone"",""Coccyx persistence"",""Indestructible part of the body""]",,TAAK_3_50_4,"[""prophetic_scientific"",""Eschatology""]",قَدْ عَلِمْنَا مَا تَنقُصُ ٱلْأَرْضُ مِنْهُمْ ۖ وَعِندَنَا كِتَٰبٌ حَفِيظٌۢ
